id,detected_ent,no_detections,no_db_keywords,number_of_missed_detections,alias1,alias2,alias3,alias4,alias5,alias6,címkézési szabály
5304,Duna House Franchise Kft.,0,4,4,,,,,,,
5305,Otthon Centrum Franchising Kft.,0,3,3,,,,,,,
5308,Magyar Sziget,0,1,1,,,,,,,
5312,Budapest Főváros XIII. kerület Önkormányzata,0,43,43,,,,,,,önkormányzat bp
5315,Győri Törvényszék,34,3,-31,,,,,,,
5317,XIII. Kerületi Közszolgáltató Zrt.,0,3,3,,,,,,,
5325,Ady Endre (úti) Szociális Otthon Pécel,0,9,9,,,,,,,
5329,Külgazdasági és Külügyminisztérium,357,309,-48,KKM,,,,,,
5331,Nagyerdei Kultúrpark,0,1,1,,,,,,,
5343,Érpatak Község Önkormányzata,0,10,10,,,,,,,önkormányzat község
5346,LG Philips Displays,0,1,1,,,,,,,
5350,Vecsés Város Önkormányzata,0,2,2,,,,,,,
5359,Heves Megyei Főügyészség,20,1,-19,,,,,,,
5360,Csány Község Önkormányzata,0,1,1,,,,,,,
5363,Kisdér község Önkormányzata,0,1,1,,,,,,,
5366,Nyíregyházi Városüzemeltető és Vagyonkezelő Nonprofit Kft.,2,14,12,,,,,,,
5368,Heves Megyei Napló (újság),0,1,1,,,,,,,
5371,Cash-Inside Kereskedelmi és Szolgáltató Kft.,0,1,1,,,,,,,
5379,Hódmezővásárhely Város Önkormányzata,0,52,52,Hódmezővásárhely Önkormányzat,hódmezővásárhelyi önkormányzat,,,,,önkormányzat város
5413,Szombathely Megyei Jogú Város Önkormányzata,2,32,30,Szombathely Önkormányzata,szombathelyi önkormányzat,,,,,önkormányzat város
5419,MET Magyarország Zrt.,11,42,31,,,,,,,
5423,EFPA Estate Kft.,0,1,1,,,,,,,
5427,Nemzeti Befektetési Ügynökség,40,14,-26,,,,,,,
5440,Budapest Főváros Kormányhivatala,46,21,-25,,,,,,,
5447,Ladánybene FC,0,1,1,,,,,,,
5448,Solt FC,0,1,1,,,,,,,
5492,Újszentiván Község Önkormányzata,0,15,15,,,,,,,
5495,Kiskutas Önkormányzata,0,1,1,,,,,,,
5507,Vienna Capital Partners,31,9,-22,,,,,,,
5510,Fonyód Város Önkormányzata,0,5,5,,,,,,,
5517,Képzési és Vidékfejlesztési Intézet,0,1,1,,,,,,,
5521,Brachot Hungary Kft.,0,1,1,,,,,,,
5523,Bicske Város Önkormányzata,0,7,7,,,,,,,
5533,Roszatom,135,59,-76,,,,,,,
5534,Balatonboglár Város Önkormányzata,0,2,2,,,,,,,
5536,Alapvető Jogok Biztosának Hivatala,23,7,-16,,,,,,,
5553,Bödeháza Község Önkormányzata,0,1,1,,,,,,,
5557,J+D 98 Kft.,0,2,2,,,,,,,
5561,Szépművészeti Múzeum,84,17,-67,,,,,,,
5562,Forró Község Önkormányzata,0,1,1,,,,,,,
5563,Európai Parlament,335,37,-298,,,,,,,
5565,Colas Út Építőipari Zrt.,1,33,32,,,,,,,
5571,Abaújlak Község Önkormányzata,0,2,2,,,,,,,
5573,Mediaworks Hungary Zrt.,32,167,135,Mediaworks,Mediaworks Zrt.,,,,,hosszú cégnév
5578,Védegylet,44,2,-42,,,,,,,
5579,Ebony Afrikai Kulturális,0,1,1,,,,,,,
5586,VolDan Investments Ltd.,9,31,22,,,,,,,
5591,Borgáta Község Önkormányzata,0,1,1,,,,,,,
5593,Kligl Kft.,0,1,1,,,,,,,
5599,R-Kord Kft.,133,164,31,,,,,,,
5606,Biatorbágy Önkormányzata,0,7,7,,,,,,,
5615,Coop-Hungary Zrt.,0,5,5,,,,,,,
5617,Nyírmada Község Önkormányzata,0,1,1,,,,,,,
5634,Solinwest Kft.,0,1,1,,,,,,,
5635,Szabolcs-Mag 98 Kft.,0,1,1,,,,,,,
5645,Európai Bizottság,1371,45,-1326,,,,,,,
5649,BALATON MEAT KFT.,0,4,4,,,,,,,
5651,Európai Mezőgazdasági Vidékfejlesztési Alap,16,1,-15,,,,,,,
5653,Tiszafüred Város Önkormányzata,0,3,3,,,,,,,
5657,NHB Növekedési Hitel Bank Zrt.,6,70,64,,,,,,,
5658,Origo Zrt.,25,47,22,,,,,,,
5660,SGH Aviation Kft.,0,1,1,,,,,,,
5702,Branko cégcsoport,0,5,5,,,,,,,
5711,Colgate Palmolive,0,1,1,,,,,,,
5713,Gilette,0,1,1,,,,,,,
5717,Mezőhegyes Város Önkormányzata,0,5,5,,,,,,,
5718,Széchenyi István Egyetem,27,8,-19,,,,,,,
5720,Bácsalmás Város Önkormányzata,0,1,1,,,,,,,
5721,Óbudai Egyetem,26,11,-15,,,,,,,
5722,Minden Gyermek Lakjon Jól Alapítvány,3,15,12,,,,,,,
5731,Boldog Község Önkormányzata,0,1,1,,,,,,,
5733,Nyizsnyij Novgorod-i Atomenergoproekt,0,2,2,,,,,,,
5745,K. Kert 2000 Kft.,0,1,1,,,,,,,
5748,R. A. Trade Kereskedelmi és Szolgáltató Kft.,0,4,4,,,,,,,
5749,Hegyvidéki Sportcsarnok és Sportközpont Kft.,0,1,1,,,,,,,
5759,Telenor,49,6,-43,,,,,,,
5763,Belváros-Lipótváros Ingatlanfejlesztési és Vagyonkezelő Zrt.,2,20,18,,,,,,,
5784,Hotel Bazilika Ingatlanforgalmazási Kft.,0,1,1,,,,,,,
5802,Csikóstőttős Község Önkormányzat,0,1,1,,,,,,,
5804,Dombó-Bau Kft.,0,1,1,,,,,,,
5809,Plusz Tranzit-Húsker Kft.,0,1,1,,,,,,,
5810,G.B.R. Trade Ltd.,0,1,1,,,,,,,
5816,Terem Község Önkormányzata,0,1,1,,,,,,,
5830,Finanszírozó és Tanácsadó Kft.,0,1,1,,,,,,,
5831,Cultivatum Oktatási,0,1,1,,,,,,,
5833,Országos Széchényi Könyvtár,24,9,-15,,,,,,,
5835,Igazságügyi és Rendészeti Minisztérium,69,1,-68,,,,,,,
5836,PRimary Média Szolgáltató Kft.,0,1,1,,,,,,,
5838,Food Friends Kereskedelmi és Szolgáltató Kft.,0,2,2,,,,,,,
5840,MIND-HÚS Kft.,0,1,1,,,,,,,
5841,Edutrade-Impex Kft.,0,1,1,,,,,,,
5842,EUROPE HILL Kereskedelmi és Szolgáltató Kft.,0,1,1,,,,,,,
5843,CENTRAL EUROPEAN PRINTING Kft.,0,1,1,,,,,,,
5844,CSABJÓ Kereskedelmi és Szolgáltató Kft.,0,1,1,,,,,,,
5845,Pack Up Company Kft.,0,1,1,,,,,,,
5860,Magyar Energetikai és Közmű-szabályozási Hivatal,64,16,-48,,,,,,,
5868,Buda-Cash Brókerház Zrt.,23,170,147,Buda-Cash Zrt.,,,,,,hosszú cégnév
5881,Ramiris Auto Kft.,0,5,5,,,,,,,
5887,Pusztaföldvár Község Önkormányzata,0,4,4,,,,,,,
5890,Törökszentmiklós Város Önkormányzata,0,3,3,,,,,,,
5891,Karcag Város Önkormányzata,0,10,10,,,,,,,önkormányzat város
5896,Magyar Kézilabda Szövetség,32,16,-16,,,,,,,
5898,Hungária Értékpapír Zrt.,59,86,27,,,,,,,
5900,ZÁÉV Zrt.,102,182,80,ZÁÉV Építőipari Zrt.,,,,,,
5903,Quaestor Értékpapír Zrt.,65,192,127,,,,,,,
5916,Tapolca Város Önkormányzata,0,1,1,,,,,,,
5917,Mórahalom Város Önkormányzata,0,4,4,,,,,,,
5919,Quaestor Financial Hrurira Kft.,27,79,52,,,,,,,
5928,Quaestor Pénzügyi Tanácsadó Zrt.,47,86,39,,,,,,,
5930,MNKH Magyar Nemzeti Kereskedőház Zrt.,16,93,77,MNKH Zrt.,Magyar Nemzeti Kereskedőház Zrt.,,,,,
5932,Csongrád Megyei Földhivatal,0,2,2,,,,,,,
5936,Arton Capital Hungary Pénzügyi Tanácsadó Kft.,4,45,41,,,,,,,
5969,Huszár '99 Kft.,0,1,1,,,,,,,
5980,Balatonfenyves Község Önkormányzata,0,1,1,,,,,,,
5983,Ágasegyháza Önkormányzata,0,1,1,,,,,,,
5989,Gyula Város Önkormányzata,3,15,12,,,,,,,
5998,Likefest Szervező és Szolgáltató Kft.,2,15,13,,,,,,,
6004,Tarnalelesz Község Önkormányzata,0,1,1,,,,,,,
6011,Kun-Mediátor Szolgáltató Kft.,1,77,76,,,,,,,
6022,Kondoros Város Önkormányzata,0,1,1,,,,,,,
6024,Halászati Kutatóintézet (HAKI),0,1,1,,,,,,,
6029,SCA Hygiene Products Kereskedelmi Kft.,0,1,1,,,,,,,
6031,DM-Drogerie Markt Kft.,0,1,1,,,,,,,
6034,CBA Informatikai és Befektetési Tanácsadó Kft.,0,2,2,,,,,,,
6035,Új Hordó Kereskedelmi Kft.,0,1,1,,,,,,,
6041,Ferrofém 2005 Kft.,0,1,1,,,,,,,
6042,Weinberg ’93 Építő Kft.,0,1,1,,,,,,,
6043,Modul Bake Kft.,0,1,1,,,,,,,
6046,Modern Media Group Befektetési és Vagyonkezelő (MMG) Zrt.,3,68,65,,,,,,,
6054,Beva,50,6,-44,,,,,,,
6068,Quaestor Bank,5,17,12,,,,,,,
6072,Nézőpont Csoport Zrt.,8,20,12,,,,,,,
6076,Prime Elite Hungary Kft.,0,1,1,,,,,,,
6077,SEF MULL Kft.,0,1,1,,,,,,,
6078,KARÁT Kereskedelmi Kft.,0,1,1,,,,,,,
6079,Epikerdis Kft.,0,1,1,,,,,,,
6080,AltSol Consulting Kft.,0,1,1,,,,,,,
6081,SZLOMA - MIX Vasárú és Kereskedelmi Kft.,0,1,1,,,,,,,
6082,HORNYÁK-INVEST Kereskedelmi Kft.,0,1,1,,,,,,,
6083,SAT-PRINT Kereskedelmi Kft.,0,1,1,,,,,,,
6084,Tare Infermo Kereskedelmi Kft.,0,1,1,,,,,,,
6088,Kaposszerdahely Önkormányzata,0,1,1,,,,,,,
6092,Abony Város Önkormányzata,0,6,6,,,,,,,
6095,Adony Város Önkormányzata,0,1,1,,,,,,,
6097,Koronás-Szarvas Kft.,0,1,1,,,,,,,
6113,Dombrád Város Önkormányzata,0,1,1,,,,,,,
6140,Quaestor Befektetési Alapkezelő (QBA) Zrt.,1,29,28,Quaestor Befektetési Alapkezelő Zrt.,QBA Zrt.,,,,,
6146,MET-csoport,0,4,4,,,,,,,
6154,Csurgó Város Önkormányzata,0,1,1,,,,,,,
6155,Zamárdi Város Önkormányzata,0,1,1,,,,,,,
6159,Hajdúszoboszló város önkormányzata,0,2,2,,,,,,,
6171,Szirmaterm Mezőgazdasági Kereskedelmi És Szolgáltató Kft.,0,1,1,,,,,,,
6176,Híd a Munka Világába Foglalkoztatási Szövetkezet,1,45,44,Híd a Munka Világába Szövetkezet,,,,,,
6186,Legfőbb Ügyészség,933,60,-873,,,,,,,
6195,Mezőkeresztes Nagyközség Önkormányzata,0,1,1,,,,,,,
6215,Huindo,0,1,1,,,,,,,
6217,Téseny község Önkormányzata,0,1,1,,,,,,,
6218,Baranyahídvég község Önkormányzata,0,1,1,,,,,,,
6220,Kemse Község Önkormányzata,0,1,1,,,,,,,
6221,Cún Község Önkormányzata,0,1,1,,,,,,,
6222,Pallas Athéné Domus Optima Zrt.,4,22,18,,,,,,,
6226,Balatonudvari Község Önkormányzata,0,1,1,,,,,,,
6239,Bp2017 Világbajnokság Szervező és Lebonyolító Nonprofit Kft.,16,99,83,,,,,,,
6257,Futball-F 2007 Zrt.,0,1,1,,,,,,,
6269,Fonyódi Városfejlesztési és Városüzemeltetési Nonprofit Kft.,0,1,1,,,,,,,
6278,Swietelsky Vasúttechnika Kft.,69,33,-36,,,,,,,
6284,Szabolcs-Szatmár-Bereg Megyei Kormányhivatal,24,5,-19,,,,,,,
6328,Nemzeti Táncszínház,21,4,-17,,,,,,,
6330,Lounge Design Kft.,105,150,45,Lounge Design Szolgáltató Kft.,,,,,,
6331,Demokratikus Jogok Fejlesztéséért Alapítvány,20,1,-19,,,,,,,
6337,IKSZ (Ifjú Kereszténydemokrata Szövetség),0,1,1,,,,,,,
6344,Sberbank,25,10,-15,,,,,,,
6346,Magyar Megújulás Párt,0,1,1,,,,,,,
6356,Szigetszentmiklós Város Önkormányzata,0,4,4,,,,,,,
6357,Kométa '99 Zrt.,0,2,2,,,,,,,
6360,Pápa Város Önkormányzata,0,2,2,,,,,,,
6363,ELEKTRO-VÁRADI Kft.,0,1,1,,,,,,,
6367,Brotherimpex Kft.,0,1,1,,,,,,,
6368,Delta-Core Kft.,0,1,1,,,,,,,
6386,Lovaglással az Egészségért Kiskőrösi Lovas Egyesület,0,1,1,,,,,,,
6409,Katolikus Egyetemisták és Főiskolások Egyesülete,0,1,1,,,,,,,
6420,Réde Község Önkormányzata,0,1,1,,,,,,,
6422,Központi Érkeztető Rendszer,0,4,4,,,,,,,
6423,Forster Gyula Nemzeti Örökségvédelmi és Vagyongazdálkodási Központ,23,8,-15,,,,,,,
6424,Trinity International Communications Kft.,33,82,49,,,,,,,
6429,Swietelsky Magyarország Kft.,70,25,-45,,,,,,,
6430,Várgondnokság Nonprofit Kft.,4,19,15,,,,,,,
6444,MNB Biztonsági Szolgáltatások Zrt.,0,5,5,,,,,,,
6460,Intermezzo Kft.,0,1,1,,,,,,,
6461,Amisoft Kft.,0,1,1,,,,,,,
6478,Tiszakécske Város Sportegyesülete,0,3,3,,,,,,,
6483,Jánossomorja Város Önkormányzata,0,1,1,,,,,,,
6497,Magyar Bankszövetség,30,7,-23,,,,,,,
6504,Magyar Idők (újság),0,47,47,Magyar Idők,,,,,,zárójel
6513,Magyar Broadcasting Co. Kft.,16,28,12,,,,,,,
6514,AV Investments Kft.,21,35,14,,,,,,,
6524,Magyar Nemzeti Galéria,22,5,-17,,,,,,,
6526,Miniszterelnöki Kabinetiroda,566,248,-318,,,,,,,
6533,Fejér B.Á.L. Építő és Szolgáltató Zrt.,1,189,188,Fejér B.Á.L. Zrt.,Fejér BÁL Zrt.,Fejér-B.Á.L. Zrt,,,,
6534,Közigazgatási és Igazságügyi Hivatal,18,2,-16,,,,,,,
6542,Fővárosi Fellebbviteli Főügyészség,58,2,-56,,,,,,,
6545,Duna Takarék Bank Zrt.,4,16,12,,,,,,,
6574,Formál Group Kft.,0,1,1,,,,,,,
6583,Szendrő és Vidéke Takarékszövetkezet,0,1,1,,,,,,,
6592,4iG Nyrt.,136,229,93,,,,,,,
6620,Debreceni Vasutas SC (DVSC),0,2,2,,,,,,,
6627,Bonyhád Város Önkormányzata,0,2,2,,,,,,,
6645,Aranykalász Kft.,0,1,1,,,,,,,
6657,Inter Tan-ker Kft.,0,1,1,,,,,,,
6676,Miskolci Kommunikációs Kht. (MiKom),0,1,1,,,,,,,
6690,Mező Vidék Bt,0,1,1,,,,,,,
6697,Magyar Minőségi Oktatásért Nonprofit Kft.,0,1,1,,,,,,,
6707,Balatonakarattya Község Önkormányzata,0,3,3,,,,,,,
6710,Kormányzati Értesítési Rendszer,0,1,1,,,,,,,
6738,NAV Bács-Kiskun megyei igazgatósága,0,1,1,,,,,,,
6743,Network 360 Kft.,37,80,43,Network 360 Reklámügynökség Kft.,,,,,,
6746,Miskolc Mini Mill,0,1,1,,,,,,,
6750,Tura Város Önkormányzata,0,5,5,,,,,,,
6752,BDPST Ingatlanforgalmazó és Beruházó Zrt.,21,140,119,BDPST Zrt.,,,,,,
6764,New Wave Media Kft.,18,51,33,,,,,,,
6778,Nitrogénművek Zrt.,32,46,14,,,,,,,
6787,First Empire Investments Ltd.,0,1,1,,,,,,,
6804,GB & Partners Kockázati Tőkealap-kezelő Zrt.,6,21,15,,,,,,,
6806,Hungary Immigration Consulting Ltd.,0,2,2,,,,,,,
6820,TV2 Média Csoport Zrt.,19,64,45,,,,,,,
6824,Új Nemzedék Jövőjéért Program,0,4,4,,,,,,,
6831,Budapest 2024 Nonprofit Zrt.,21,37,16,,,,,,,
6838,Ripost Média Kft.,10,35,25,,,,,,,
6857,Készenléti Rendőrség,118,12,-106,,,,,,,
6868,Eszterháza Kulturális,0,2,2,,,,,,,
6871,Pharos ’95 Kft.,24,51,27,,,,,,,
6878,CCC+Bogner Kft.,0,1,1,,,,,,,
6909,Új Nemzedék Központ Nonprofit Közhasznú Kft.,4,25,21,,,,,,,
6912,Judo Sped Kft.,0,1,1,,,,,,,
6913,Abádszalók önkormányzata,0,2,2,,,,,,,
6915,Frank Digital Kft.,27,39,12,,,,,,,
6931,DML Hungary Kft.,0,1,1,,,,,,,
6942,Mezőkövesd Zsóry FC Kft.,7,33,26,,,,,,,
6961,Metis Magántőke Alap,2,30,28,Metis magántőkealap,Metis tőkealap,,,,,
6965,Blue Robin Investments,8,24,16,,,,,,,
6987,Trafikbrand Kft.,0,1,1,,,,,,,
6995,INNOMED MEDICAL Zrt.,0,2,2,,,,,,,
7009,Nemzeti Fejlesztési Programiroda Kft.,4,29,25,,,,,,,
7035,Raw Development Kft.,28,47,19,,,,,,,
7044,Monor Város Önkormányzata,0,4,4,,,,,,,
7060,ODEX Outdoor Expert Kft.,3,17,14,,,,,,,
7067,Dr. Tomcsányi Tamás ügyvédi iroda,0,1,1,,,,,,,
7079,Carion Holding Zrt.,2,28,26,,,,,,,
7087,Alapítvány a kelet- és közép-európai kutatásért és képzésért,0,8,8,,,,,,,
7092,Opimus Group Nyrt.,26,57,31,,,,,,,
7097,Magyar Református Egyház,6,21,15,,,,,,,
7101,Pió 21 Kft.,2,19,17,,,,,,,
7112,Panda Investments Ltd.,0,1,1,,,,,,,
7113,Global Homes Group Kft.,0,1,1,,,,,,,
7116,Bibó István Szakkollégium,26,6,-20,,,,,,,
7130,Csepreg Város Önkormányzata,0,3,3,,,,,,,
7146,Halasi Média és Kultúra Nonprofit Szolgáltató Kft.,0,1,1,,,,,,,
7150,A gyorsabb ügy­menetért Kft.,0,1,1,,,,,,,
7152,Spl Biztonsági Nyomdaipari Kft.,0,1,1,,,,,,,
7164,Halmi-Gazdász Kft.,0,1,1,,,,,,,
7178,Népművészeti Egyesületek Szövetsége,0,1,1,,,,,,,
7182,T.O.M. Controll 2001 Kft.,0,7,7,,,,,,,
7184,Országos Takarékszövetkezeti Szövetség,17,2,-15,,,,,,,
7192,Randevú Kft.,0,1,1,,,,,,,
7219,HBH Stratégia és Fejlesztés Kft.,0,1,1,,,,,,,
7220,Analogy Fejlesztő és Szolgáltató Zrt.,0,1,1,,,,,,,
7222,EX ANTE Tanácsadó Iroda Kft.,0,4,4,,,,,,,
7224,Königsberg Consulting Szolgáltató és Tanácsadó Kft.,0,1,1,,,,,,,
7226,Diófa Alapkezelő Zrt.,17,46,29,,,,,,,
7227,Tiszaroffi Cigány Kisebbségi Önkormányzat,0,1,1,,,,,,,
7231,Attila Patika Bt.,0,1,1,,,,,,,
7233,Mezőhegyesi Állami Ménes Kft.,1,21,20,,,,,,,
7239,Nemzeti Agrárkamara,30,12,-18,,,,,,,
7243,MNB Jóléti Humán Szolgáltató és Üzemeltető Kft.,0,1,1,,,,,,,
7245,Nyíradony Város Önkormányzata,0,1,1,,,,,,,
7246,Cegléd Város Önkormányzata,0,5,5,,,,,,,
7251,Innotica Kft.,0,1,1,,,,,,,
7264,Sinvest Andrássy 21 Pro Kft.,0,1,1,,,,,,,
7269,Soldus Development Ingatlanfejlesztő Kft.,0,2,2,,,,,,,
7297,MKB-Euro­leasing Autópark Zrt.,0,1,1,,,,,,,
7299,Penta Industry Ipari Erőműtechnikai Fővállalkozó és Szolgáltató Kft.,2,40,38,,,,,,,
7303,Banküzlet Kft.,0,1,1,,,,,,,
7304,N3 Kommunikációs,0,1,1,,,,,,,
7329,FK Invest Kft.,0,1,1,,,,,,,
7345,Sprintcamion Kft.,0,2,2,,,,,,,
7350,Hanna Bahor Zárcentrum Kft.,0,1,1,,,,,,,
7352,888,4,16,12,,,,,,,
7377,Public Sector Consulting Kft.,12,46,34,,,,,,,
7380,B.-A.-Z. megyei közgyűlés,0,1,1,,,,,,,
7430,Nemzeti Hulladékgazdálkodási Koordináló és Vagyonkezelő Zrt.,22,46,24,,,,,,,
7436,Optimus Nyrt.,0,4,4,,,,,,,
7437,Opimus Press Zrt.,14,27,13,,,,,,,
7444,St. George Apartamanház Kft.,0,1,1,,,,,,,
7451,Együtt (párt),0,31,31,,,,,,,zárójel
7455,S.C. Szazszorszep Srl.,0,1,1,,,,,,,
7457,Humánswot kft.,0,2,2,,,,,,,
7488,Körmend Város Önkormányzata,0,1,1,,,,,,,
7505,V-Híd Zrt.,68,99,31,,,,,,,
7508,Hátrányos Helyzetűek Felzárkóztatásáért Szociális Szövetkezet,0,1,1,,,,,,,
7522,Universe Management  Kft.,0,3,3,,,,,,,
7546,Sümeg Város Önkormányzata,0,7,7,,,,,,,
7547,Chewton Ltd.,0,1,1,,,,,,,
7554,Humán Operátor Zrt.,29,85,56,,,,,,,
7566,Strong&Unique LCC,0,1,1,,,,,,,
7569,Mentorátor Alapítvány,0,1,1,,,,,,,
7573,Jásztér Gazdaságfejlesztő Zrt.,0,1,1,,,,,,,
7596,Euro­pean Settlement Immigration Service Ltd.,0,1,1,,,,,,,
7607,HNP,24,1,-23,,,,,,,
7614,Budapest Főváros XX. kerület Önkormányzata (Pesterzsébet),0,1,1,,,,,,,önkormányzat bp
7617,Hitel- és Biztosításközvetítő Zrt.,0,1,1,,,,,,,
7631,Corex Kft.,0,3,3,,,,,,,
7636,Brands.hu,0,1,1,,,,,,,
7646,Békés Megyei Területi Társadalmi Aktivitás Nonprofit Kft.,0,1,1,,,,,,,
7675,Pallas Athéné Alapítványok,12,46,34,,,,,,,
7682,Novák és társai Ügyvédi Iroda,0,1,1,,,,,,,
7696,Rakamaz Város Önkormányzata,0,6,6,,,,,,,
7697,M1,65,4,-61,,,,,,,
7698,Bors magazin,0,4,4,,,,,,,
7706,Volánbusz Zrt.,50,84,34,,,,,,,
7719,Logintech Consulting Kft.,0,1,1,,,,,,,
7730,Kecskeméti Animációs Kft.,0,2,2,,,,,,,
7734,Rezeda 5 Kft.,0,4,4,,,,,,,
7742,Országgyűlés nemzetbiztonsági bizottság,1,13,12,,,,,,,
7755,Rakamazi Városüzemeltetési Nonprofit Kft.,0,1,1,,,,,,,
7759,Omnium Consensu Kft.,0,1,1,,,,,,,
7774,GLOBE-ÉP Zrt.,0,1,1,,,,,,,
7777,Kalanog Agro Kft,0,1,1,,,,,,,
7778,Kisvárda FC,3,16,13,,,,,,,
7797,Kistelek Város Önkormányzata,0,3,3,,,,,,,
7798,Dél-Magyarországi Regionális Energia Ügynökség NKft.,0,1,1,,,,,,,
7806,Eutradex UK Ltd.,0,1,1,,,,,,,
7817,Nemzeti Sport (újság),0,9,9,Nemzeti Sport,Nemzeti Sport lap,,,,,zárójel
7832,Figyelő (újság),0,20,20,,,,,,,zárójel
7860,Lokál (újság),0,19,19,,,,,,,zárójel
7877,Richter Gedeon Vegyészeti Gyár Nyrt.,2,17,15,,,,,,,
7895,Pszichofitness Bt.,0,1,1,,,,,,,
7896,Pszichoszomatikus Ambulancia Kft.,0,1,1,,,,,,,
7912,Atmedia Kft.,11,43,32,,,,,,,
7925,Peter Peter & Partners Kft.,0,2,2,,,,,,,
7928,Vidéki-Szépség Tour Kft.,0,1,1,,,,,,,
7933,Tolna Város Önkormányzata,0,1,1,,,,,,,
7945,BrandHouse Kft.,0,1,1,,,,,,,
7975,ANV Management Kft.,0,2,2,,,,,,,
7984,New Land Media Kft.,118,186,68,,,,,,,
7985,Kisköre Város Önkormányzata,0,1,1,,,,,,,
7997,Kompkonzult,0,1,1,,,,,,,
8005,Fejér Megyei Kormányhivatal,26,8,-18,,,,,,,
8009,Mészáros Sándor és Társai Ügyvédi Iroda,0,1,1,,,,,,,
8018,Konzum Befektetési Alapkezelő Zrt.,16,39,23,,,,,,,
8024,Nyírpilis Község Önkormányzata,0,1,1,,,,,,,
8027,Claessens-group,0,5,5,,,,,,,
8030,Szakoly Község Önkormányzata,0,4,4,,,,,,,
8034,VIRESOL Kft.,1,44,43,,,,,,,
8054,Dráva Kalász Kft.,0,3,3,,,,,,,
8057,Nemzetközi Gyermekmentő Szolgálat (NGYSZ),0,1,1,,,,,,,
8082,Mallbeck Consulting Kft.,0,1,1,,,,,,,
8085,L’Art-Classic Kft.,0,1,1,,,,,,,
8090,HEBBO Ingatlanüzemeltető Kft.,0,1,1,,,,,,,
8094,Köz-tér-ház Kft.,0,1,1,,,,,,,
8099,New Gate Hungary Kft.,0,1,1,,,,,,,
8102,Marketing Hype Services Kft.,0,1,1,,,,,,,
8103,Kos és Bika Bt.,0,1,1,,,,,,,
8115,Szolnoki Víz- és Csatornaművek Koncessziós Zrt. (VCsM),0,1,1,,,,,,,
8125,Daniel Friberg,0,1,1,,,,,,,
8141,Appeninn Holding Nyrt.,23,89,66,Appenin,Appeninn Nyrt.,Appeninn Vagyonkezelő Holding,,,,
8150,Család- Ifjúság- és Népesedéspolitikai Intézet (NSZCSI),0,1,1,,,,,,,
8156,Service 4 You Kft.,0,1,1,,,,,,,
8158,Médiatanács,144,42,-102,,,,,,,
8168,Budai Polgár Kiadó Kft.,0,1,1,,,,,,,
8171,Humán Racionális Innovatív Alapítvány,0,1,1,,,,,,,
8182,Brick Visual,0,1,1,,,,,,,
8184,CÉH Tervező,0,4,4,,,,,,,
8185,Beruházó és Fejlesztő Zrt.,0,2,2,,,,,,,
8189,Váll-Ber Zrt.,0,1,1,,,,,,,
8193,Market Építő Zrt.,118,231,113,Market Zrt.,Market Építő,,,,,
8206,Tárnok Önkormányzata,0,4,4,,,,,,,
8219,Progress Alapítvány,0,2,2,,,,,,,
8223,Heresznye Önkormányzata,0,1,1,,,,,,,
8231,DryCon Hungary Kft.,0,1,1,,,,,,,
8235,PSP Hungária Kft.,0,1,1,,,,,,,
8242,Konzum Befektetési és Vagyonkezelő Nyrt.,40,121,81,Konzum Befektetési Alapkezelő Zrt.,,,,,,
8251,Országgyűlés gazdasági bizottsága,0,7,7,,,,,,,
8285,Eurotrentor Zrt.,0,1,1,,,,,,,
8286,BanKonzult Pénzügyi és Gazdasági Tanácsadó Kft.,6,27,21,,,,,,,
8294,Túrricse Község Önkormányzata,0,1,1,,,,,,,
8302,Csenger Város Önkormányzata,0,1,1,,,,,,,
8318,Kunbaja Község Önkormányzata,0,3,3,,,,,,,
8335,Serenity Solution Kft.,1,18,17,,,,,,,
8338,Quantis-csoport,0,2,2,,,,,,,
8352,Hamburg C. Kft,0,1,1,,,,,,,
8362,HSP Hídépítő Kft.,0,3,3,,,,,,,
8364,Balatonfőkajár Község Önkormányzata,0,1,1,,,,,,,
8368,Szunaworks Kft.,0,1,1,,,,,,,
8369,KL-Bau Trade Kft.,0,1,1,,,,,,,
8370,Nospen 2015 Kft.,0,1,1,,,,,,,
8371,Vinker-Rental Kft.,0,1,1,,,,,,,
8373,Semyno Kft.,0,1,1,,,,,,,
8375,Storrente Work Kft.,0,1,1,,,,,,,
8376,TO-PA-SI Team Kft.,0,1,1,,,,,,,
8378,Titokőr Kft.,0,1,1,,,,,,,
8393,Cretum Gmbh,0,2,2,,,,,,,
8394,Nyíregyházi Járási Ügyészség,20,2,-18,,,,,,,
8396,Álmosd Község Önkormányzata,0,6,6,,,,,,,
8409,Haluza és Társa Kft,0,1,1,,,,,,,
8420,Budapest Főváros XVII. kerület Önkormányzata (Rákosmente),0,4,4,,,,,,,önkormányzat bp
8436,Zahara Kft.,0,1,1,,,,,,,
8454,Budapest Főváros XV. Kerület Önkormányzata (Rákospalota),3,6,3,,,,,,,önkormányzat bp
8456,MAG Zrt.,19,2,-17,,,,,,,
8461,Carvel Hungary Kft.,0,1,1,,,,,,,
8504,Ház a Szervita téren Zrt.,0,2,2,,,,,,,
8510,Kaposvári Rendőrfőkapitányság,0,1,1,,,,,,,
8513,Danubio Park Projekt Kft.,0,1,1,,,,,,,
8516,Aktív Energia Egyesület,0,1,1,,,,,,,
