id,detected_ent,no_detections,no_db_keywords,number_of_missed_detections,alias1,alias2,alias3,alias4,alias5,alias6,címkézési szabály
1717,Budapest Rádió Kft.,0,1,1,,,,,,,
1719,Patrióta Edelény Alapítvány,0,1,1,,,,,,,
1723,Debreceni Koronglövõ Egyesület,0,2,2,,,,,,,
1727,Honvéd Önkéntes és Magánnyugdíjpénztár,0,1,1,,,,,,,
1732,Nuvum Kft.,0,1,1,,,,,,,
1739,Beacon Kft.,0,1,1,,,,,,,
1747,GJZ Bt.,0,1,1,,,,,,,
1751,Erste Bank,56,24,-32,,,,,,,
1753,Mórakert Értékesítő Szövetkezet,0,3,3,,,,,,,
1755,Dél-alföldi Agrárlogisztikai Centrum,0,1,1,,,,,,,
1756,E-szinapszis Zrt.,0,1,1,,,,,,,
1760,HÍDÉPÍTŐ Speciál Vízi és Robbantási MunkákKft.,0,4,4,,,,,,,
1776,Nemzeti Földalapkezelő Szervezet,195,231,36,Nemzeti Földalapkezelő,Földalapkezelő,,,,,
1782,Agrologik Kft.,0,1,1,,,,,,,
1783,Duna-Tisza Regionális Zrt.,0,1,1,,,,,,,
1784,Dutireg Kht.,0,1,1,,,,,,,
1786,Budapest Honvéd FC,3,21,18,,,,,,,
1794,Debrecen-Airport Kft.,0,7,7,,,,,,,
1796,British American Tobacco,23,2,-21,,,,,,,
1803,APERTUS Kht.,0,1,1,,,,,,,
1812,Észak-alföldi Regionális Fejlesztési Tanács,0,1,1,,,,,,,
1823,Regionális Fejlesztési Vállalat Rt.,0,1,1,,,,,,,
1833,Országos Igazságszolgáltatási Tanács (OIT),0,1,1,,,,,,,
1834,Nemzeti Vagyongazdálkodási Tanács,74,21,-53,,,,,,,
1837,7E Kft.,0,1,1,,,,,,,
1843,Magyar Kórházszövetség,29,2,-27,,,,,,,
1847,Alsó-Tisza-vidéki Környezetvédelmi Természetvédelmi és Vízügyi F,0,1,1,,,,,,,
1857,MHB,20,4,-16,,,,,,,
1866,Propack Kft.,0,2,2,,,,,,,
1867,Petruzalek Kft.,0,2,2,,,,,,,
1868,Petruzalek Gmbh,0,2,2,,,,,,,
1871,Miller-Oil Kft.,0,2,2,,,,,,,
1872,Cex Kft,0,1,1,,,,,,,
1878,MÁV Cargo Árufuvarozási Zrt.,1,78,77,,,,,,,
1894,T-W SYSTEM Kft.,0,3,3,,,,,,,
1899,Penyigéért Kultúrális Egyesület,0,1,1,,,,,,,
1907,Philip Morris,21,2,-19,,,,,,,
1914,Szirt Invest Kft.,0,1,1,,,,,,,
1917,Lungo Drom,91,41,-50,,,,,,,
1918,Kiskunhalasi Állatvédő és Természetbarát Egyesület,0,1,1,,,,,,,
1921,AAM Zrt.,31,48,17,,,,,,,
1932,RVF Rt.,0,2,2,,,,,,,
1941,Eural TG,0,1,1,,,,,,,
1952,Magyar Nemzeti Vagyonkezelő (MNV) Zrt.,216,728,512,MNV Zrt.,Nemzeti Vagyonkezelő Zrt.,Magyar Nemzeti Vagyonkezelő,Nemzeti Vagyonkezelő,Magyar Nemzeti Vagyonkezelő Zrt.,Nemzeti Vagyonkezelő Zrt.,zárójel
1955,Nemzetbiztonsági Szakszolgálat,103,31,-72,,,,,,,
1956,Bau Art Marcali Bt.,0,1,1,,,,,,,
1957,Noa Kft.,0,1,1,,,,,,,
1958,Ormai Kft.,0,1,1,,,,,,,
1984,Szeviép,17,39,22,,,,,,,
1997,Magyar Vöröskereszt,19,3,-16,,,,,,,
2004,Főtáv Zrt.,41,62,21,,,,,,,
2009,Cemi Kft.,7,18,11,,,,,,,
2032,Júlia-Malom Kft.,0,4,4,,,,,,,
2059,Sedesa,30,13,-17,,,,,,,
2061,M6 Tolna Konzorcium,0,3,3,,,,,,,
2068,Jobbik,1413,233,-1180,,,,,,,
2086,Penna-Média Kft.,0,1,1,,,,,,,
2091,Zalapig-Barnak Kft.,0,1,1,,,,,,,
2094,MB-AUTO Magyarország Kft.,0,1,1,,,,,,,
2095,MB-AUTO Pécs Kft.,0,1,1,,,,,,,
2096,Pécsi Tömegközlekedési Rt.,1,13,12,,,,,,,
2114,Számadó kft.,0,1,1,,,,,,,
2119,Vinum Esseum Kft.,0,1,1,,,,,,,
2123,NOB,98,60,-38,,,,,,,
2129,Egészségügyi Központ (Kulcs),0,1,1,,,,,,,
2139,Postai Kézbesítő Kft.,0,1,1,,,,,,,
2140,EU Posta Zrt.,0,1,1,,,,,,,
2145,Cigányság Foglalkoztatásáért Kht.,0,3,3,,,,,,,
2146,Parking Kft.,34,17,-17,,,,,,,
2149,Országos Társadalombiztosítási Főigazgatóság,0,1,1,,,,,,,
2150,Thermal Invest Rt.,0,1,1,,,,,,,
2165,Trendex Zrt.,0,2,2,,,,,,,
2166,UD Vagyonvédelmi Zrt.,16,56,40,,,,,,,
2173,Országos Foglalkoztatási Közalapítvány,27,5,-22,,,,,,,
2187,Cs. Sziget Invest,0,3,3,,,,,,,
2194,Complán Stúdió Kft.,0,1,1,,,,,,,
2224,Easy Invest Kft.,0,1,1,,,,,,,
2225,Abeton-Viacolor Zrt.,0,1,1,,,,,,,
2226,Betonpartner Kft.,0,3,3,,,,,,,
2228,Danubiusbeton Kft.,0,1,1,,,,,,,
2229,Frissbeton Kft.,0,3,3,,,,,,,
2237,Continental Dohányipari Zrt.,25,58,33,,,,,,,
2253,Csepel-sziget Általános és Szakképző Iskola,14,27,13,,,,,,,
2256,Antall József Tudásközpont Alapítvány,1,15,14,,,,,,,
2262,Danubius Rádió,33,3,-30,,,,,,,
2266,Jókai 6. Zrt.,0,2,2,,,,,,,
2267,Korona 97 Kft.,0,1,1,,,,,,,
2268,Walldale Holding Ltd.,0,1,1,,,,,,,
2279,Online PR Bt.,0,1,1,,,,,,,
2280,Zöld Ifjúsági Egyesület,0,1,1,,,,,,,
